Time,Horizon,Vectical
0.01,0.04,12.010001
0.01,-24.83,10.969999
0.01,-49.03,7.669999
0.01,48.709995,7.78
0.01,24.31,11.250002
0.01,-0.15,12.019999
0.01,-25.060002,10.97
0.01,-49.239998,7.689999
0.01,48.520003,7.760001
0.01,24.119998,11.25
0.01,-0.37,12.02
0.01,-25.27,10.98
0.01,-49.450001,7.730001
0.01,48.31,7.719999
0.01,23.909999,11.21
0.01,-0.56,11.980001
0.01,-25.459999,11
0.01,-49.640003,7.740001
0.01,48.099997,7.69
0.01,23.700001,11.190002
0.01,-0.77,12.04
0.01,-25.679998,11.02
0.01,-49.869993,7.78
0.01,47.879998,7.650001
0.01,23.489998,11.149999
0.01,-0.99,12.04
0.01,-25.87,11.029999
0.01,-50.080001,7.79
0.01,47.669999,7.63
0.01,23.289998,11.15
0.01,-1.18,12.02
0.01,-26.079996,11.03
0.01,-50.289994,7.82
0.01,47.460001,7.6
0.01,23.079997,11.109999
0.01,-1.39,12.04
0.01,-26.279999,11.009999
0.01,-50.509998,7.85
0.01,47.249998,7.569999
0.01,22.870001,11.1
0.01,-1.59,12.04
0.01,-26.489999,11.069999
0.01,-50.720001,7.88
0.01,47.059996,7.539999
0.01,22.660001,11.06
0.01,-1.8,12.04
0.01,-26.719999,11.029999
0.01,-50.909998,7.9
0.01,46.849998,7.509999
0.01,22.449998,11.04
0.01,-2.01,12.04
0.01,-26.909998,11.049999
0.01,-51.139998,7.930001
0.01,46.629999,7.47
0.01,22.260001,10.969999
0.01,-2.21,11.96
0.01,-27.120001,11.1
0.01,-51.349996,7.959999
0.01,46.419996,7.46
0.01,22.030001,10.99
0.01,-2.44,12.050002
0.01,-27.329997,11.12
0.01,-51.560004,7.98
0.01,46.210002,7.429999
0.01,21.82,10.969999
0.01,-2.63,12.050001
0.01,-27.54,11.149999
0.01,-51.769997,8.01
0.01,45.999999,7.399999
0.01,21.630001,10.95
0.01,-2.83,11.989998
0.01,-27.74,11.149999
0.01,-51.979996,8.039999
0.01,45.789996,7.370001
0.01,21.430001,10.93
0.01,-3.04,12.050002
0.01,-27.950001,11.17
0.01,-52.189999,8.08
0.01,45.579998,7.339999
0.01,21.22,10.92
0.01,-3.25,12.04
0.01,-28.159997,11.19
0.01,-52.399997,8.11
0.01,45.38,7.309999
0.01,21.009999,10.880001
0.01,-3.45,12.059999
0.01,-28.370002,11.210002
0.01,-52.61,8.13
0.01,45.169997,7.28
0.01,20.800001,10.86
0.01,-3.68,12
0.01,-28.570003,11.21
0.01,-52.819998,8.159999
0.01,44.959999,7.259999
0.01,20.589998,10.849999
0.01,-3.87,11.999999
0.01,-28.779998,11.249999
0.01,-53.040002,8.189998
0.01,44.750001,7.230001
0.01,20.38,10.81
0.01,-4.07,11.989999
0.01,-28.989999,11.25
0.01,-53.25,8.21
0.01,44.539997,7.189999
0.01,20.170002,10.789999
0.01,-4.28,12.010001
0.01,-29.200002,11.269999
0.01,-53.459999,8.239999
0.01,44.319999,7.159999
0.01,19.96,10.76
0.01,-4.49,12.050001
0.01,-29.4,11.27
0.01,-53.669992,8.26
0.01,44.120001,7.139999
0.01,19.759998,10.740001
0.01,-4.689999,12.079999
0.01,-29.609998,11.31
0.01,-53.88,8.29
0.01,43.899997,7.11
0.01,19.549999,10.72
0.01,-4.9,12
0.01,-29.820001,11.309999
0.01,-54.089998,8.32
0.01,43.689999,7.069999
0.01,19.339999,10.689999
0.01,-5.11,11.999999
0.01,-30.030002,11.33
0.01,-54.319998,8.35
0.01,43.480001,7.05
0.01,19.129999,10.669999
0.01,-5.31,12.009999
0.01,-30.24,11.349999
0.01,-54.51,8.379999
0.01,43.269998,7.02
0.01,18.919998,10.639998
0.01,-5.52,12.069999
0.01,-30.440003,11.349999
0.01,-54.709997,8.359999
0.01,43.049999,6.98
0.01,18.710001,10.620002
0.01,-5.730001,12.010002
0.01,-30.649999,11.37
0.01,-54.939997,8.399999
0.01,42.859997,6.96
0.01,18.519998,10.61
0.01,-5.93,12.02
0.01,-30.859997,11.389999
0.01,-55.139999,8.46
0.01,42.649999,6.94
0.01,18.289998,10.569999
0.01,-6.14,12.08
0.01,-31.069997,11.389999
0.01,-55.369999,8.499999
0.01,42.44,6.91
0.01,18.079999,10.539999
0.01,-6.35,12.090002
0.01,-31.27,11.41
0.01,-55.579997,8.52
0.01,42.230002,6.87
0.01,17.869999,10.519999
0.01,-6.55,12.070001
0.01,-31.480001,11.41
0.01,-55.79,8.54
0.01,42.03,6.84
0.01,17.689998,10.51
0.01,-6.76,12.079998
0.01,-31.67,11.429999
0.01,-55.979997,8.569999
0.01,41.8,6.81
0.01,17.480001,10.47
0.01,-6.97,12.099999
0.01,-31.900002,11.460001
0.01,-56.209997,8.61
0.01,41.589997,6.79
0.01,17.27,10.460001
0.01,-7.17,12.090001
0.01,-32.11,11.48
0.01,-56.42,8.59
0.01,41.4,6.749999
0.01,17.06,10.419999
0.01,-7.38,12.029999
0.01,-32.309998,11.479999
0.01,-56.629998,8.619999
0.01,41.17,6.73
0.01,16.840001,10.33
0.01,-7.590001,12.100001
0.01,-32.519999,11.5
0.01,-56.839996,8.68
0.01,40.970003,6.699999
0.01,16.629999,10.319999
0.01,-7.790001,12.099999
0.01,-32.729997,11.52
0.01,-57.050004,8.719998
0.01,40.76,6.67
0.01,16.43,10.299998
0.01,-7.999999,12.030001
0.01,-32.930002,11.53
0.01,-57.259998,8.74
0.01,40.549999,6.629999
0.01,16.220002,10.33
0.01,-8.21,12.029998
0.01,-33.14,11.55
0.01,-57.479997,8.769999
0.01,40.339998,6.62
0.01,16.010001,10.31
0.01,-8.41,12.02
0.01,-33.350001,11.569999
0.01,-57.679999,8.789998
0.01,40.130002,6.58
0.01,15.800002,10.280001
0.01,-8.62,12.089999
0.01,-33.54,11.569999
0.01,-57.899998,8.830001
0.01,39.910001,6.55
0.01,15.589998,10.260001
0.01,-8.830001,12.089999
0.01,-33.77,11.600001
0.01,-58.110001,8.85
0.01,39.699996,6.52
0.01,15.38,10.23
0.01,-9.029999,12.04
0.01,-33.97,11.600001
0.01,-58.319995,8.879999
0.01,39.509998,6.49
0.01,15.19,10.199998
0.01,-9.24,12.109999
0.01,-34.159997,11.6
0.01,-58.530003,8.91
0.01,39.3,6.46
0.01,14.989999,10.19
0.01,-9.45,12.090001
0.01,-34.389996,11.629999
0.01,-58.739996,8.939999
0.01,39.079999,6.419999
0.01,14.76,10.149999
0.01,-9.65,12.099999
0.01,-34.590001,11.629998
0.01,-58.949994,8.959998
0.01,38.869998,6.4
0.01,14.539999,10.079998
0.01,-9.86,12.090002
0.01,-34.799997,11.66
0.01,-59.159997,8.99
0.01,38.659998,6.37
0.01,14.34,10.11
0.01,-10.07,12.090001
0.01,-35.01,11.66
0.01,-59.370001,9.02
0.01,38.449999,6.33
0.01,14.15,10.079999
0.01,-10.27,12.099999
0.01,-35.199995,11.679999
0.01,-59.579999,9.039999
0.01,38.229996,6.26
0.01,13.94,10.059999
0.01,-10.479999,12.089999
0.01,-35.409998,11.689999
0.01,-59.790002,9.080001
0.01,38.020002,6.27
0.01,13.729999,10.029999
0.01,-10.689999,12.099999
0.01,-35.609998,11.690001
0.01,-60,9.09
0.01,37.809997,6.24
0.01,13.519999,10
0.01,-10.900001,12.08
0.01,-35.820001,11.72
0.01,-60.210003,9.129999
0.01,37.599996,6.2
0.01,13.310001,9.97
0.01,-11.1,12.070001
0.01,-36.029995,11.719999
0.01,-60.419997,9.149999
0.01,37.399998,6.179999
